name,mrp,discountpercent
Sunfeast Dark Fantasy Bourbon Bliss,35,17
Himalaya Gentle Baby Shampoo,320,17
Nivea Cocoa Nourish Body Lotion With Coconut Oil & Cocoa Butter For Very Dry Skin ,299,17
Pampers All Round Protection Pants - Medium,699,17
Himalaya Gentle Baby Shampoo,320,17
Nivea Cocoa Nourish Body Lotion With Coconut Oil & Cocoa Butter For Very Dry Skin ,299,17
Pampers All Round Protection Pants - Medium,699,17
Scotch Brite Multi-Purpose Sponge Wipes,700,17
Onion,25,16
Tomato Hybrid,42,16
Lemon,75,16
Muskmelon,42,16
Methi,30,16
Broccoli,36,16
Sapota,30,16
Onion,68,16
Potato,100,16
Coconut Big,36,16
Lettuce Iceberg,25,16
Papaya,54,16
Apple Shimla,142,16
Bitter Gourd,18,16
Brinjal Small,18,16
Sweet Corn,36,16
Spring Onion ,18,16
Bell Peppers Red & Yellow ,118,16
Pomegranate ,106,16
Sweet Lime,30,16
Guava,54,16
Beans Cluster,30,16
Chilli Bhaji,30,16
Beans Broad,42,16
Orange,54,16
Zucchini Yellow,42,16
Apple Kinnaur,142,16
Ridge Gourd,30,16
Mango Raw,60,16
Banana Nendran,54,16
Pumpkin Cut,30,16
Banana Red,54,16
Banana Leaf,12,16
Sponge Gourd,25,16
Zama Organics Sweet Potato,37,16
Popular Essentials Pumpkin Seeds,90,16
Pillsbury Chakki Fresh Atta,450,16
Popular Essentials Dhania (Coriander Seeds),55,16
Pillsbury Atta With Multigrains Wheat Grains,295,16
Popular Essentials Green Moong Whole,90,16
Gits Jalebi with Maker Dessert Mix,75,16
Popular Essentials Pumpkin Seeds,90,16
Pillsbury Chakki Fresh Atta,450,16
Popular Essentials Dhania (Coriander Seeds),55,16
Pillsbury Atta With Multigrains Wheat Grains,295,16
Popular Essentials Green Moong Whole,90,16
Gits Jalebi with Maker Dessert Mix,75,16
Suguna Nourish Egg ,72,16
Suguna Nourish Egg ,72,16
Suguna Nourish Egg ,72,16
Unibic SugarFree - Oatmeal Cookies,50,16
Unibic SugarFree - Butter Cookies,50,16
Colgate Kids 0-2 Extra Soft Tooth Brush,30,16
Godrej No.1 Bathing Soap – Lime & Aloe Vera,100,16
Colgate Kids 0-2 Extra Soft Tooth Brush,30,16
Godrej No.1 Bathing Soap – Lime & Aloe Vera,100,16
Godrej Aer Spray Fresh Lush Green,150,16
Philips Stellar Bright 16W Light Bulb,390,16
Tender Coconut,51,15
Coriander Leaves,20,15
Watermelon ,58,15
Chilli Green ,19,15
Cauliflower,26,15
